Modelo,Formato,Respuesta,Tiempo de espera de usuario,Tiempo en procesar la solicitud,Tiempo que tarda en cargar el modelo,Tiempo que tarda el modelo en procesar la entrada,Tiempo que el modelo genera tokens,Tokens de entrada,Tokens de salida,Tokens generados por segundo,Tokens de razonamiento,Correccion,Claridad,Completitud,ID,Categoria
GPT-5,texto,La capital de España es Madrid.,4.330486399998335,,,,2.3761965000012424,14,85,35.77145240301278,64,10,10,10,1,Conocimiento general
GPT-5,binary,La capital de España es Madrid.,7.278965299999982,,,,6.699915400000464,137,579,86.41900164888051,512,10,10,10,1,Conocimiento general
GPT-5,hexa,La capital de España es Madrid.,4.50642660000085,,,,4.207031100002496,39,302,71.78458937463544,256,10,10,10,1,Conocimiento general
GPT-5,json,La capital de España es Madrid.,1.8374738999991678,,,,1.508575899999414,21,114,75.56795783363918,64,10,10,10,1,Conocimiento general
GPT-5,csv,La capital de España es Madrid.,2.0614361000007193,,,,1.731246999999712,16,132,76.24561948700673,64,10,10,10,1,Conocimiento general
GPT-5,xml,La capital de España es Madrid.,3.465203300002031,,,,2.1393185000015364,32,149,69.64834829404457,128,10,10,10,1,Conocimiento general
GPT-5,html,La capital de España es Madrid.,2.525069799998164,,,,2.1947748999991745,38,149,67.88851102682833,128,10,10,10,1,Conocimiento general
GPT-5,texto,1492 (el 12 de octubre).,2.8303636999989976,,,,2.525732499998412,16,145,57.40908825463154,128,10,10,10,2,Conocimiento general
GPT-5,binary,"En 1492; específicamente, el 12 de octubre de 1492.",6.943019800000911,,,,6.297567499997967,173,778,123.53976356748079,704,10,10,10,2,Conocimiento general
GPT-5,hexa,"Si te refieres al “descubrimiento”, fue en 1492 (12 de octubre).  
Si te refieres a cuándo las describió por escrito, sus cartas sobre el viaje se publicaron en 1493.",11.537131500001124,,,,11.19629939999868,51,677,60.46640732026868,576,10,10,10,2,Conocimiento general
GPT-5,json,1492. Cristóbal Colón llegó a América el 12 de octubre de 1492.,31.044126500000857,,,,30.715535300001648,23,151,4.9160790630919555,64,10,10,10,2,Conocimiento general
GPT-5,csv,"1492. Concretamente, el 12 de octubre de 1492 llegó a la isla de Guanahani (actual Bahamas) en su primer viaje.",6.240993200000958,,,,5.570361699999921,18,328,58.88307037584375,256,10,10,10,2,Conocimiento general
GPT-5,xml,En 1492.,8.833094400000846,,,,8.485240900001372,34,255,30.052181547368768,192,10,10,10,2,Conocimiento general
GPT-5,html,1492.,4.7865498999999545,,,,4.452013900001475,40,303,68.05908669779751,256,10,10,10,2,Conocimiento general
GPT-5,texto,El oxígeno.,2.571129200001451,,,,2.2161287000017182,15,140,63.17322635634449,128,10,10,10,3,Conocimiento general
GPT-5,binary,El oxígeno (número atómico 8).,6.877059100002953,,,,6.377025100002356,185,687,107.73048392106001,640,10,10,10,3,Conocimiento general
